,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
0,高橋　祐治,Yuji TAKAHASHI,京都紫光ＳＣ－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８－京都サンガF.C.－ブリスベン　ロアー／オーストラリア－京都サンガF.C.－カマタマーレ讃岐－京都サンガF.C.－サガン鳥栖,1993/04/11,柏レイソル
1,古賀　太陽,Taiyo KOGA,舞浜ＦＣファルコンズ－柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－アビスパ福岡,1998/10/28,柏レイソル
2,エメルソン　サントス,Emerson Raymundo Santos(EMERSON SANTOS),ボタフォゴＦＲ／ブラジル－ＳＥパルメイラス／ブラジル－ＳＣインテルナシオナル／ブラジル－ＳＥパルメイラス／ブラジル,1995/04/05,柏レイソル
3,高橋　峻希,Shunki TAKAHASHI,朝霞三原ＦＣ－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－ジェフユナイテッド千葉－浦和レッズ－ジェフユナイテッド千葉－ヴィッセル神戸,1990/05/04,柏レイソル
4,大谷　秀和,Hidekazu OTANI,柏レイソルＪｒユース－柏レイソルユース,1984/11/06,柏レイソル
5,ヒシャルジソン,RICHARDSON Fernandes Dos Santos,アメリカＦＣ／ブラジル－バラウナス／ブラジル－コンフィアンサ／ブラジル－トレーゼ／ブラジル－オペラリオＥＣ／ブラジル－コンフィアンサ／ブラジル－セアラーＳＣ／ブラジル,1991/08/17,柏レイソル
6,クリスティアーノ,CRISTIANO Da Silva,マルシリオ　ディアス／ブラジル－リオ　クラーロ／ブラジル－メトロポリターノ／ブラジル－シャペコエンセ／ブラジル－メトロポリターノ／ブラジル－ジュベントゥージ／ブラジル－ザルツブルグ／オーストリア－栃木ＳＣ－ヴァンフォーレ甲府－柏レイソル－ヴァンフォーレ甲府,1987/01/12,柏レイソル
7,江坂　任,Ataru ESAKA,ウッディＳＣ－ゆりのき台中－神戸弘陵高－流通経済大－ザスパクサツ群馬－大宮アルディージャ,1992/05/31,柏レイソル
8,マテウス　サヴィオ,Matheus Goncalve Savio(MATHEUS SAVIO),ＣＲフラメンゴ／ブラジル－エストリール／ポルトガル－ＣＲフラメンゴ／ブラジル－ＣＳＡ／ブラジル－柏レイソル－ＣＲフラメンゴ／ブラジル,1997/04/15,柏レイソル
9,北爪　健吾,Kengo KITAZUME,粕川コリエンテジュニア－前橋エコーＪｒユース－前橋育英高－専修大－ジェフユナイテッド千葉－横浜ＦＣ,1992/04/30,柏レイソル
10,染谷　悠太,Yuta SOMEYA,ＦＣ東京Ｕ－１５－ＦＣ東京Ｕ－１８－流通経済大－京都サンガF.C.－セレッソ大阪－京都サンガF.C.,1986/09/30,柏レイソル
11,滝本　晴彦,Haruhiko TAKIMOTO,柏レイソルＵ－１５－柏レイソルＵ－１８,1997/05/20,柏レイソル
12,キム　スンギュ,KIM Seung Gyu,チョナ小／大韓民国－ヒョンデ中／大韓民国－ヒョンデ高／大韓民国－蔚山現代ＦＣ／大韓民国－ヴィッセル神戸－蔚山現代ＦＣ／大韓民国,1990/09/30,柏レイソル
13,瀬川　祐輔,Yusuke SEGAWA,日大二高－明治大－ザスパクサツ群馬－大宮アルディージャ,1994/02/07,柏レイソル
14,呉屋　大翔,Hiroto GOYA,ケヤキＦＣ－ヴィッセル神戸Ｊｒユース－流通経済大付属柏高－関西学院大－ガンバ大阪－徳島ヴォルティス－ガンバ大阪－Ｖ・ファーレン長崎－ガンバ大阪,1994/01/02,柏レイソル
15,三丸　拡,Hiromu MITSUMARU,大谷北ＦＣ－小山第三中－真岡高－筑波大－サガン鳥栖,1993/07/06,柏レイソル
16,佐々木　雅士,Masato SASAKI,常盤平少年ＳＣ－柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８,2002/05/01,柏レイソル
17,ドッジ,Moreira Fagundes Douglas (DODI),クリシューマＥＣ／ブラジル－フルミネンセＦＣ／ブラジル－フルミネンセＦＣ／ブラジル,1996/04/17,柏レイソル
18,ペドロ　ハウル,PEDRO RAUL Garay Da Silva,ＥＣクルゼイロ／ブラジル－ヴィトーリアＳ．Ｃ．Ｂ／ポルトガル－アトレチコ　ゴイアニエンセ／ブラジル－ボタフォゴＦＲ／ブラジル,1996/11/05,柏レイソル
19,川口　尚紀,Naoki KAWAGUCHI,希望が丘ＳＣスポーツ少年団－長岡ビルボードＦＣＪｒユース－アルビレックス新潟ユース－アルビレックス新潟－清水エスパルス－アルビレックス新潟－柏レイソル－アルビレックス新潟,1994/05/24,柏レイソル
20,大南　拓磨,Takuma OMINAMI,名古屋ＦＣＵ－１５－鹿児島実業高－ジュビロ磐田,1997/12/13,柏レイソル
21,椎橋　慧也,Keiya SHIIHASHI,咲が丘ＳＣ－八木が谷中－市立船橋高－ベガルタ仙台,1997/06/20,柏レイソル
22,三原　雅俊,Masatoshi MIHARA,ブレイズ熊本キッカーズ－ブレイズ熊本ジュニア－ルーテル学院中－ルーテル学院高－ヴィッセル神戸－ツエーゲン金沢－ヴィッセル神戸－Ｖ・ファーレン長崎－ヴィッセル神戸－柏レイソル－ヴィッセル神戸,1988/08/02,柏レイソル
23,戸嶋　祥郎,Sachiro TOSHIMA,市立浦和高－筑波大－アルビレックス新潟,1995/09/26,柏レイソル
24,アンジェロッティ,ANGELOTTI Rodrigo Luiz ,レッドブル　ブラジル／ブラジル－ＦＣリーフェリング／オーストリア－レッドブル　ブラジル／ブラジル－イトゥアーノＦＣ／ブラジル－レッドブル　ブラガンチーノ／ブラジル,1998/04/27,柏レイソル
25,イッペイ　シノヅカ,Ippey SHINOZUKA,ＦＣスパルタク２モスクワ／ロシア連邦－横浜Ｆ・マリノス－大宮アルディージャ,1995/03/20,柏レイソル
26,仲間　隼斗,Hayato NAKAMA,吾妻ジュニア－柏レイソルＵ－１５－柏レイソルＵ－１８－ロアッソ熊本－カマタマーレ讃岐－ロアッソ熊本－カマタマーレ讃岐－ファジアーノ岡山,1992/05/16,柏レイソル
27,細谷　真大,Mao HOSOYA,柏レイソルＡ．Ａ．ＴＯＲ’８２－柏レイソルＵ－１５－柏レイソルＵ－１８,2001/09/07,柏レイソル
28,山田　雄士,Yuto YAMADA,ＦＣ高津－柏レイソルＵ－１５－柏レイソルＵ－１８,2000/05/17,柏レイソル
29,鵜木　郁哉,Fumiya UNOKI,ＦＣ佐倉－柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８,2001/07/04,柏レイソル
30,大嶽　拓馬,Takuma OTAKE,ＦＣ石岡－柏レイソルＵ－１５－柏レイソルＵ－１８,2002/08/08,柏レイソル
31,神谷　優太,Yuta KAMIYA,ＯＳＡフォルトナ山形－ＳＦＣジェラーレ－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－青森山田高－湘南ベルマーレ－愛媛ＦＣ－湘南ベルマーレ－愛媛ＦＣ－湘南ベルマーレ,1997/04/24,柏レイソル
32,高貫　太瑛,Taiei TAKANUKI,湊第一サッカースポーツ少年団－水戸ホーリーホックＥＩＫＯジュニア－柏レイソルＵ－１５,2003/05/01,柏レイソル
33,上島　拓巳,Takumi KAMIJIMA,ユーカリが丘ＳＣ－柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－中央大－柏レイソル－アビスパ福岡,1997/02/05,柏レイソル
34,松本　健太,Kenta MATSUMOTO,柏イーグルスＴＯＲ８２－柏レイソルＵ－１５－柏レイソルＵ－１８－東洋大－柏レイソル－大宮アルディージャ,1997/05/04,柏レイソル
35,田中　隼人,Hayato TANAKA,ミナトＳＣ－柏レイソルＵ－１５,2003/11/01,柏レイソル
36,近野　勝大,Katsuhiro KONNO,ヴァロールＦＣイースト－柏レイソルＵ－１５,2003/08/07,柏レイソル
37,山下　達也,Tatsuya YAMASHITA,大蔵中－御影工高－セレッソ大阪－コンサドーレ札幌－セレッソ大阪,1987/11/07,柏レイソル
0,児玉　剛,Tsuyoshi KODAMA,ガンバ大阪ジュニア－吹田クラブ－京都パープルサンガユース－関西大－京都サンガF.C.－愛媛ＦＣ－モンテディオ山形,1987/12/28,ＦＣ東京
1,アルトゥール　シルバ,ARTHUR SILVA Feitoza,ＥＣサンジョゼ／ブラジル－ＡＡインテルナシオナル ベ／ブラジル－ＣＡヴォトゥポランゲンセ／ブラジル－グレミオ　オザスコ　アウダ／ブラジル－ＥＣノヴォ アンブルゴ　Ｕ／ブラジル－ＣＮマルシリオ　ジアス／ブラジル,1995/04/26,ＦＣ東京
2,森重　真人,Masato MORISHIGE,高陽ＦＣ－サンフレッチェ広島Ｊｒユース－広島皆実高－大分トリニータ,1987/05/21,ＦＣ東京
3,渡辺　剛,Tsuyoshi WATANABE,大袋ＦＣ－ＦＣ東京Ｕ－１５深川－山梨学院大附属高－中央大,1997/02/05,ＦＣ東京
4,ブルーノ　ウヴィニ,BRUNO UVINI Bortolanca,サンパウロＦＣ／ブラジル－トッテナム　ホットスパ／イングランド－サンパウロＦＣ／ブラジル－ＳＳＣナポリ／イタリア－ＡＣシエナ／イタリア－ＳＳＣナポリ／イタリア－サントスＦＣ／ブラジル－ＳＳＣナポリ／イタリア－ＦＣトゥエンテ／オランダ－アル　ナスル／サウジアラビア－アル　ワクラＳＣ／カタール－アル　イテハド／サウジアラビア,1991/06/03,ＦＣ東京
5,小川　諒也,Ryoya OGAWA,コレーガＳＣ－Ｆｏｒｚａ’０２－流通経済大付属柏高,1996/11/24,ＦＣ東京
6,三田　啓貴,Hirotaka MITA,バディＳＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－明治大－ＦＣ東京－ベガルタ仙台－ＦＣ東京－ベガルタ仙台－ヴィッセル神戸,1990/09/14,ＦＣ東京
7,髙萩　洋次郎,Yojiro TAKAHAGI,植田中－サンフレッチェ広島ユース－サンフレッチェ広島－愛媛ＦＣ－サンフレッチェ広島－ウェスタンシドニーワ／オーストラリア－ＦＣソウル／大韓民国,1986/08/02,ＦＣ東京
8,ディエゴ　オリヴェイラ,Diego Queiroz De Oliveira(DIEGO OLIVEIRA),パラナ　クルーベ／ブラジル－アルミサイマーＳＣ／カタール－ＥＣノロエスチ／ブラジル－水原三星ブルーウィングス／大韓民国－ＥＣバイーア／ブラジル－アウダックス　サンパウロ／ブラジル－ボアＥＣ／ブラジル－ＣＡリネンセ／ブラジル－ＡＡポンチプレッタ／ブラジル－ノボリゾンチーノ／ブラジル－柏レイソル－ＦＣ東京－柏レイソル,1990/06/22,ＦＣ東京
9,東　慶悟,Keigo HIGASHI,深町ＳＣ－若松中－大分トリニータＵ－１８－大分トリニータ－大宮アルディージャ,1990/07/20,ＦＣ東京
10,永井　謙佑,Kensuke NAGAI,医生ヶ丘サッカー少年団－浅川中－九州国際大付属高－福岡大－名古屋グランパス－ＲＳリエージュ／ベルギー－名古屋グランパス,1989/03/05,ＦＣ東京
11,波多野　豪,Go HATANO,武蔵村山１ＦＣ－ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８,1998/05/25,ＦＣ東京
12,内田　宅哉,Takuya UCHIDA,ＪＳＣ　ＣＨＩＢＡ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８,1998/06/02,ＦＣ東京
13,アダイウトン,ADAILTON Dos Santos Da Silva,フォルタレーザ／ブラジル－ヴィトーリア／ブラジル－アトレチコ　パラナエンセ／ブラジル－イトゥアーノ／ブラジル－ジョインビレ／ブラジル－イトゥアーノ／ブラジル－ポンチプレッタ／ブラジル－パラナ／ブラジル－ジュビロ磐田,1990/12/06,ＦＣ東京
14,阿部　伸行,Nobuyuki ABE,大和サンデーズ－東大和三中－ＦＣ東京Ｕ－１８－流通経済大－ＦＣ東京－湘南ベルマーレ－ギラヴァンツ北九州－ＡＣ長野パルセイロ,1984/04/27,ＦＣ東京
15,品田　愛斗,Manato SHINADA,レジスタＦＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８,1999/09/19,ＦＣ東京
16,レアンドロ,Weverson LEANDRO Oliveira Moura,グレミオＦＢＰＡ／ブラジル－ＳＥパルメイラス／ブラジル－サントスＦＣ／ブラジル－コリチーバＦＣ／ブラジル－鹿島アントラーズ－ＳＥパルメイラス／ブラジル－鹿島アントラーズ－ＦＣ東京－鹿島アントラーズ,1993/05/12,ＦＣ東京
17,青木　拓矢,Takuya AOKI,高崎西ＦＣ－ＦＣホリコシ－ＦＣ前橋Ｊｒユース－前橋育英高－大宮アルディージャ－浦和レッズ,1989/09/16,ＦＣ東京
18,中村　拓海,Takumi NAKAMURA,大分トリニータＵ－１２－大分トリニータＵ－１５－東福岡高,2001/03/16,ＦＣ東京
19,渡邊　凌磨,Ryoma WATANABE,前橋育英高－早稲田大－インゴルシュタットⅡ／ドイツ－インゴルシュタット０４／ドイツ－アルビレックス新潟－モンテディオ山形,1996/10/02,ＦＣ東京
20,蓮川　壮大,Sodai HASUKAWA,レジスタＦＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－明治大,1998/06/27,ＦＣ東京
21,田川　亨介,Kyosuke TAGAWA,雲仙アルディート－サガン鳥栖Ｕ－１８－サガン鳥栖,1999/02/11,ＦＣ東京
22,岡崎　慎,Makoto OKAZAKI,コアラＳＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－ＦＣ東京－清水エスパルス,1998/10/10,ＦＣ東京
23,安部　柊斗,Shuto ABE,ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８－明治大,1997/12/05,ＦＣ東京
24,ジョアン　オマリ,JOAN OUMARI,ライニケンドルファーフックセ／ドイツ－ＳＶバーベルズブルグ／ドイツ－ロートヴァイス　エルフルト／ドイツ－ＦＳＶフランクフルト／ドイツ－シバシプール／トルコ－アル　ナスルＳＣ／アラブ首長国連邦－サガン鳥栖－アル　ナスルＳＣ／アラブ首長国連邦－ヴィッセル神戸,1988/08/19,ＦＣ東京
25,林　彰洋,Akihiro HAYASHI,柏レイソル青梅Ｊｒユース－流通経済大付属柏高－流通経済大－プリマスアーガイルＦＣ／イングランド－ＲＯＣシャルルロワ／ベルギー－清水エスパルス－サガン鳥栖－清水エスパルス－サガン鳥栖,1987/05/07,ＦＣ東京
26,大森　理生,Rio OMORI,ＪＡＣＰＡ東京ＦＣ－ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８,2002/07/21,ＦＣ東京
27,中村　帆高,Hotaka NAKAMURA,横浜Ｆ・マリノスプライマリー追浜－横浜Ｆ・マリノスＪｒユース追浜－日大藤沢高－明治大,1997/08/12,ＦＣ東京
28,紺野　和也,Kazuya KONNO,吉川ホワイトシャーク－Ｃ．Ａ．ＡＬＥＧＲＥ－武南高－法政大,1997/07/11,ＦＣ東京
29,野澤　大志ブランドン,Taishi Brandon NOZAWA,長田ドラゴンＦＣ－ＦＣ琉球Ｕ－１５－ＦＣ東京Ｕ－１８,2002/12/25,ＦＣ東京
30,野澤　零温,Leon NOZAWA,アミーゴＦＣ－ＦＣ東京Ｕ－１５深川,2003/07/21,ＦＣ東京
31,梶浦　勇輝,Yuki KAJIURA,ＦＣトリプレッタ－ＦＣ東京Ｕ－１５深川,2004/01/02,ＦＣ東京
32,安田　虎士朗,Kojiro YASUDA,符津スポーツ少年団サッカー部－ＦＣ東京Ｕ－１５深川,2003/08/14,ＦＣ東京
33,森田　翔,Sho MORITA,浜浦コスモス－アルビレックス新潟Ｕ－１５,2003/07/06,ＦＣ東京
34,彼島　優,Yu KANOSHIMA,レジスタＦＣ－ＦＣ東京Ｕ－１５深川,2003/05/05,ＦＣ東京
35,バングーナガンデ　佳史扶,Kashif BANGNAGANDE,ＦＣアビリスタ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８,2001/09/24,ＦＣ東京
0,チョン　ソンリョン,JUNG Sung Ryong,西歸浦高等学校／大韓民国－浦項スティーラース／大韓民国－城南一和／大韓民国－水原三星ブルーウィングス／大韓民国,1985/01/04,川崎フロンターレ
