,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
104,伊藤　涼太郎,Ryotaro ITO,1998/02/06,浦和レッズ,大分トリニータ,浦和レッズ,水戸ホーリーホック,浦和レッズ,水戸ホーリーホック,浦和レッズ,作陽高,セレッソ大阪Ｕ-１５,ＡＶＡＮＴＩ　ＫＡＮＳＡＩ　ＦＣ,,,,,,,,,,,,
105,杉本　健勇,Kenyu SUGIMOTO,1992/11/18,浦和レッズ,セレッソ大阪,川崎フロンターレ,セレッソ大阪,東京ヴェルディ,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,ＦＣルイラモスヴェジット,,,,,,,,,,,,,
106,明本　考浩,Takahiro AKIMOTO,1998/01/31,浦和レッズ,栃木ＳＣ,国士舘大,栃木ＳＣユース,栃木ＳＣＪｒユース,栃木ＳＣジュニア,,,,,,,,,,,,,,,,
107,伊藤　敦樹,Atsuki ITO,1998/08/11,浦和レッズ,流通経済大,浦和レッズユース,浦和レッズＪｒユース,道祖土サッカー少年団,あかつき幼稚園サッカークラブ,,,,,,,,,,,,,,,,
108,小泉　佳穂,Yoshio KOIZUMI,1996/10/05,浦和レッズ,ＦＣ琉球,青山学院大,前橋育英高,ＦＣ東京Ｕ-１５むさし,光が丘ＫＩＤ　ＳＣ,,,,,,,,,,,,,,,,
109,金子　大毅,Daiki KANEKO,1998/08/28,浦和レッズ,湘南ベルマーレ,神奈川大,市立船橋高,ＦＣトッカーノＵ-１５,烏山北ＦＣ,,,,,,,,,,,,,,,,
110,トーマス　デン,THOMAS JOK DENG,1997/03/20,浦和レッズ,メルボルンビクトリー／オーストラリア,ＰＳＶⅡ／オランダ,メルボルンビクトリー／オーストラリア,,,,,,,,,,,,,,,,,,
111,大久保　智明,Tomoaki OKUBO,1998/07/23,浦和レッズ,中央大,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディジュニア,ビートルイレブン,,,,,,,,,,,,,,,,
112,阿部　勇樹,Yuki ABE,1981/09/06,浦和レッズ,レスターシティＦＣ／イングランド,浦和レッズ,ジェフユナイテッド千葉,ジェフユナイテッド市原ユース,ジェフユナイテッド市原Ｊｒユース,市川ＦＣ,富美浜ＦＣ,,,,,,,,,,,,,,
113,汰木　康也,Koya YURUKI,1995/07/03,浦和レッズ,モンテディオ山形,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,横浜Ｆ・マリノスプライマリー,原ＦＣ,,,,,,,,,,,,,,,,
114,塩田　仁史,Hitoshi SHIOTA,1981/05/28,浦和レッズ,栃木ＳＣ,大宮アルディージャ,ＦＣ東京,流通経済大,水戸短大附属高,滑川中,日高サッカー少年団,,,,,,,,,,,,,,
115,柴戸　海,Kai SHIBATO,1995/11/24,浦和レッズ,明治大,市立船橋高,町田ＪＦＣ,いぶき野ＦＣヘリオス,,,,,,,,,,,,,,,,,
116,興梠　慎三,Shinzo KOROKI,1986/07/31,浦和レッズ,鹿島アントラーズ,鵬翔高,東大宮中,宮崎東ＳＳＳ,,,,,,,,,,,,,,,,,
117,藤原　優大,Yudai FUJIWARA,2002/06/29,浦和レッズ,青森山田高,青森山田中,リベロ津軽Ｓ．Ｃ,,,,,,,,,,,,,,,,,,
118,宮本　優太,Yuta MIYAMOTO,1999/12/15,浦和レッズ,流通経済大在学中,流通経済大付属柏高,Ｆｏｒｚａ０２,田柄ＦＣ,,,,,,,,,,,,,,,,,
119,福島　竜弥,Ryuya FUKUSHIMA,2002/06/08,浦和レッズ,浦和レッズユース,児湯ＳＣＪｒユース,川南大久保サッカー少年団,,,,,,,,,,,,,,,,,,
120,武田　英寿,Hidetoshi TAKEDA,2001/09/15,浦和レッズ,青森山田高,青森山田中,なかのＦＣ,ベガルタ仙台ジュニア,なかのＦＣ,,,,,,,,,,,,,,,,
121,関根　貴大,Takahiro SEKINE,1995/04/19,浦和レッズ,シント＝トロイデン／ベルギー,インゴルシュタット０４／ドイツ,浦和レッズ,浦和レッズユース,浦和レッズＪｒユース,ＦＣ鶴ヶ島サッカー少年団,,,,,,,,,,,,,,,
122,工藤　孝太,Kota KUDO,2003/08/13,浦和レッズ,浦和レッズＪｒユース,南紀ＪＳＣ,,,,,,,,,,,,,,,,,,,
123,川﨑　淳,Atsushi KAWASAKI,2003/07/05,浦和レッズ,T・ボレアーレＵＯＺＵ-水橋ＦＣ　Ｕ-１５,,,,,,,,,,,,,,,,,,,,
124,樋口　耀大,Yota HIGUCHI,2003/08/28,浦和レッズ,浦和レッズＪｒユース,アリーバＦＣ　Ｕ-１５,アリーバＦＣ　Ｕ-１２,,,,,,,,,,,,,,,,,,
125,高橋　祐治,Yuji TAKAHASHI,1993/04/11,柏レイソル,サガン鳥栖,京都サンガF.C.,カマタマーレ讃岐,京都サンガF.C.,ブリスベン　ロアー／オーストラリア,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,京都紫光ＳＣ,,,,,,,,,,,,
126,古賀　太陽,Taiyo KOGA,1998/10/28,柏レイソル,アビスパ福岡,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,舞浜ＦＣファルコンズ,,,,,,,,,,,,,,,
127,エメルソン　サントス,Emerson Raymundo Santos(EMERSON SANTOS),1995/04/05,柏レイソル,ＳＥパルメイラス／ブラジル,ＳＣインテルナシオナル／ブラジル,ＳＥパルメイラス／ブラジル,ボタフォゴＦＲ／ブラジル,,,,,,,,,,,,,,,,,
128,高橋　峻希,Shunki TAKAHASHI,1990/05/04,柏レイソル,ヴィッセル神戸,ジェフユナイテッド千葉,浦和レッズ,ジェフユナイテッド千葉,浦和レッズ,浦和レッズユース,浦和レッズＪｒユース,朝霞三原ＦＣ,,,,,,,,,,,,,
129,大谷　秀和,Hidekazu OTANI,1984/11/06,柏レイソル,柏レイソルユース,柏レイソルＪｒユース,,,,,,,,,,,,,,,,,,,
130,ヒシャルジソン,RICHARDSON Fernandes Dos Santos,1991/08/17,柏レイソル,セアラーＳＣ／ブラジル,コンフィアンサ／ブラジル,オペラリオＥＣ／ブラジル,トレーゼ／ブラジル,コンフィアンサ／ブラジル,バラウナス／ブラジル,アメリカＦＣ／ブラジル,,,,,,,,,,,,,,
131,クリスティアーノ,CRISTIANO Da Silva,1987/01/12,柏レイソル,ヴァンフォーレ甲府,柏レイソル,ヴァンフォーレ甲府,栃木ＳＣ,ザルツブルグ／オーストリア,ジュベントゥージ／ブラジル,メトロポリターノ／ブラジル,シャペコエンセ／ブラジル,メトロポリターノ／ブラジル,リオ　クラーロ／ブラジル,マルシリオ　ディアス／ブラジル,,,,,,,,,,
132,江坂　任,Ataru ESAKA,1992/05/31,柏レイソル,大宮アルディージャ,ザスパクサツ群馬,流通経済大,神戸弘陵高,ゆりのき台中,ウッディＳＣ,,,,,,,,,,,,,,,
133,マテウス　サヴィオ,Matheus Goncalve Savio(MATHEUS SAVIO),1997/04/15,柏レイソル,ＣＲフラメンゴ／ブラジル,柏レイソル,ＣＳＡ／ブラジル,ＣＲフラメンゴ／ブラジル,エストリール／ポルトガル,ＣＲフラメンゴ／ブラジル,,,,,,,,,,,,,,,
134,北爪　健吾,Kengo KITAZUME,1992/04/30,柏レイソル,横浜ＦＣ,ジェフユナイテッド千葉,専修大,前橋育英高,前橋エコーＪｒユース,粕川コリエンテジュニア,,,,,,,,,,,,,,,
135,染谷　悠太,Yuta SOMEYA,1986/09/30,柏レイソル,京都サンガF.C.,セレッソ大阪,京都サンガF.C.,流通経済大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５,,,,,,,,,,,,,,,
136,滝本　晴彦,Haruhiko TAKIMOTO,1997/05/20,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,,,,,,,,,,,,,,,,,,,
137,キム　スンギュ,KIM Seung Gyu,1990/09/30,柏レイソル,蔚山現代ＦＣ／大韓民国,ヴィッセル神戸,蔚山現代ＦＣ／大韓民国,ヒョンデ高／大韓民国,ヒョンデ中／大韓民国,チョナ小／大韓民国,,,,,,,,,,,,,,,
138,瀬川　祐輔,Yusuke SEGAWA,1994/02/07,柏レイソル,大宮アルディージャ,ザスパクサツ群馬,明治大,日大二高,,,,,,,,,,,,,,,,,
139,呉屋　大翔,Hiroto GOYA,1994/01/02,柏レイソル,ガンバ大阪,Ｖ・ファーレン長崎,ガンバ大阪,徳島ヴォルティス,ガンバ大阪,関西学院大,流通経済大付属柏高,ヴィッセル神戸Ｊｒユース,ケヤキＦＣ,,,,,,,,,,,,
140,三丸　拡,Hiromu MITSUMARU,1993/07/06,柏レイソル,サガン鳥栖,筑波大,真岡高,小山第三中,大谷北ＦＣ,,,,,,,,,,,,,,,,
141,佐々木　雅士,Masato SASAKI,2002/05/01,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,常盤平少年ＳＣ,,,,,,,,,,,,,,,,,
142,ドッジ,Moreira Fagundes Douglas (DODI),1996/04/17,柏レイソル,フルミネンセＦＣ／ブラジル,フルミネンセＦＣ／ブラジル,クリシューマＥＣ／ブラジル,,,,,,,,,,,,,,,,,,
143,ペドロ　ハウル,PEDRO RAUL Garay Da Silva,1996/11/05,柏レイソル,ボタフォゴＦＲ／ブラジル,アトレチコ　ゴイアニエンセ／ブラジル,ヴィトーリアＳ．Ｃ．Ｂ／ポルトガル,ＥＣクルゼイロ／ブラジル,,,,,,,,,,,,,,,,,
144,川口　尚紀,Naoki KAWAGUCHI,1994/05/24,柏レイソル,アルビレックス新潟,柏レイソル,アルビレックス新潟,清水エスパルス,アルビレックス新潟,アルビレックス新潟ユース,長岡ビルボードＦＣＪｒユース,希望が丘ＳＣスポーツ少年団,,,,,,,,,,,,,
145,大南　拓磨,Takuma OMINAMI,1997/12/13,柏レイソル,ジュビロ磐田,鹿児島実業高,名古屋ＦＣＵ-１５,,,,,,,,,,,,,,,,,,
146,椎橋　慧也,Keiya SHIIHASHI,1997/06/20,柏レイソル,ベガルタ仙台,市立船橋高,八木が谷中,咲が丘ＳＣ,,,,,,,,,,,,,,,,,
147,三原　雅俊,Masatoshi MIHARA,1988/08/02,柏レイソル,ヴィッセル神戸,柏レイソル,ヴィッセル神戸,Ｖ・ファーレン長崎,ヴィッセル神戸,ツエーゲン金沢,ヴィッセル神戸,ルーテル学院高,ルーテル学院中,ブレイズ熊本ジュニア,ブレイズ熊本キッカーズ,,,,,,,,,,
148,戸嶋　祥郎,Sachiro TOSHIMA,1995/09/26,柏レイソル,アルビレックス新潟,筑波大,市立浦和高,,,,,,,,,,,,,,,,,,
149,アンジェロッティ,ANGELOTTI Rodrigo Luiz ,1998/04/27,柏レイソル,レッドブル　ブラガンチーノ／ブラジル,イトゥアーノＦＣ／ブラジル,レッドブル　ブラジル／ブラジル,ＦＣリーフェリング／オーストリア,レッドブル　ブラジル／ブラジル,,,,,,,,,,,,,,,,
150,イッペイ　シノヅカ,Ippey SHINOZUKA,1995/03/20,柏レイソル,大宮アルディージャ,横浜Ｆ・マリノス,ＦＣスパルタク２モスクワ／ロシア連邦,,,,,,,,,,,,,,,,,,
151,仲間　隼斗,Hayato NAKAMA,1992/05/16,柏レイソル,ファジアーノ岡山,カマタマーレ讃岐,ロアッソ熊本,カマタマーレ讃岐,ロアッソ熊本,柏レイソルＵ-１８,柏レイソルＵ-１５,吾妻ジュニア,,,,,,,,,,,,,
152,細谷　真大,Mao HOSOYA,2001/09/07,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＡ．Ａ．ＴＯＲ’８２,,,,,,,,,,,,,,,,,,
153,山田　雄士,Yuto YAMADA,2000/05/17,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,ＦＣ高津,,,,,,,,,,,,,,,,,,
154,鵜木　郁哉,Fumiya UNOKI,2001/07/04,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,ＦＣ佐倉,,,,,,,,,,,,,,,,,
155,大嶽　拓馬,Takuma OTAKE,2002/08/08,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,ＦＣ石岡,,,,,,,,,,,,,,,,,,
156,神谷　優太,Yuta KAMIYA,1997/04/24,柏レイソル,湘南ベルマーレ,愛媛ＦＣ,湘南ベルマーレ,愛媛ＦＣ,湘南ベルマーレ,青森山田高,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディジュニア,ＳＦＣジェラーレ,ＯＳＡフォルトナ山形,,,,,,,,,,
157,高貫　太瑛,Taiei TAKANUKI,2003/05/01,柏レイソル,柏レイソルＵ-１５,水戸ホーリーホックＥＩＫＯジュニア,湊第一サッカースポーツ少年団,,,,,,,,,,,,,,,,,,
158,上島　拓巳,Takumi KAMIJIMA,1997/02/05,柏レイソル,アビスパ福岡,柏レイソル,中央大,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,ユーカリが丘ＳＣ,,,,,,,,,,,,,,
159,松本　健太,Kenta MATSUMOTO,1997/05/04,柏レイソル,大宮アルディージャ,柏レイソル,東洋大,柏レイソルＵ-１８,柏レイソルＵ-１５,柏イーグルスＴＯＲ８２,,,,,,,,,,,,,,,
160,田中　隼人,Hayato TANAKA,2003/11/01,柏レイソル,柏レイソルＵ-１５,ミナトＳＣ,,,,,,,,,,,,,,,,,,,
161,近野　勝大,Katsuhiro KONNO,2003/08/07,柏レイソル,柏レイソルＵ-１５,ヴァロールＦＣイースト,,,,,,,,,,,,,,,,,,,
162,山下　達也,Tatsuya YAMASHITA,1987/11/07,柏レイソル,セレッソ大阪,コンサドーレ札幌,セレッソ大阪,御影工高,大蔵中,,,,,,,,,,,,,,,,
163,児玉　剛,Tsuyoshi KODAMA,1987/12/28,ＦＣ東京,モンテディオ山形,愛媛ＦＣ,京都サンガF.C.,関西大,京都パープルサンガユース,吹田クラブ,ガンバ大阪ジュニア,,,,,,,,,,,,,,
164,アルトゥール　シルバ,ARTHUR SILVA Feitoza,1995/04/26,ＦＣ東京,ＣＮマルシリオ　ジアス／ブラジル,ＥＣノヴォ アンブルゴ　Ｕ／ブラジル,グレミオ　オザスコ　アウダ／ブラジル,ＣＡヴォトゥポランゲンセ／ブラジル,ＡＡインテルナシオナル ベ／ブラジル,ＥＣサンジョゼ／ブラジル,,,,,,,,,,,,,,,
165,森重　真人,Masato MORISHIGE,1987/05/21,ＦＣ東京,大分トリニータ,広島皆実高,サンフレッチェ広島Ｊｒユース,高陽ＦＣ,,,,,,,,,,,,,,,,,
166,渡辺　剛,Tsuyoshi WATANABE,1997/02/05,ＦＣ東京,中央大,山梨学院大附属高,ＦＣ東京Ｕ-１５深川,大袋ＦＣ,,,,,,,,,,,,,,,,,
167,ブルーノ　ウヴィニ,BRUNO UVINI Bortolanca,1991/06/03,ＦＣ東京,アル　イテハド／サウジアラビア,アル　ワクラＳＣ／カタール,アル　ナスル／サウジアラビア,ＦＣトゥエンテ／オランダ,ＳＳＣナポリ／イタリア,サントスＦＣ／ブラジル,ＳＳＣナポリ／イタリア,ＡＣシエナ／イタリア,ＳＳＣナポリ／イタリア,サンパウロＦＣ／ブラジル,トッテナム　ホットスパ／イングランド,サンパウロＦＣ／ブラジル,,,,,,,,,
168,小川　諒也,Ryoya OGAWA,1996/11/24,ＦＣ東京,流通経済大付属柏高,Ｆｏｒｚａ’０２,コレーガＳＣ,,,,,,,,,,,,,,,,,,
169,三田　啓貴,Hirotaka MITA,1990/09/14,ＦＣ東京,ヴィッセル神戸,ベガルタ仙台,ＦＣ東京,ベガルタ仙台,ＦＣ東京,明治大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,バディＳＣ,,,,,,,,,,,,
170,髙萩　洋次郎,Yojiro TAKAHAGI,1986/08/02,ＦＣ東京,ＦＣソウル／大韓民国,ウェスタンシドニーワ／オーストラリア,サンフレッチェ広島,愛媛ＦＣ,サンフレッチェ広島,サンフレッチェ広島ユース,植田中,,,,,,,,,,,,,,
171,ディエゴ　オリヴェイラ,Diego Queiroz De Oliveira(DIEGO OLIVEIRA),1990/06/22,ＦＣ東京,柏レイソル,ＦＣ東京,柏レイソル,ノボリゾンチーノ／ブラジル,ＡＡポンチプレッタ／ブラジル,ＣＡリネンセ／ブラジル,ボアＥＣ／ブラジル,アウダックス　サンパウロ／ブラジル,ＥＣバイーア／ブラジル,水原三星ブルーウィングス／大韓民国,ＥＣノロエスチ／ブラジル,アルミサイマーＳＣ／カタール,パラナ　クルーベ／ブラジル,,,,,,,,
172,東　慶悟,Keigo HIGASHI,1990/07/20,ＦＣ東京,大宮アルディージャ,大分トリニータ,大分トリニータＵ-１８,若松中,深町ＳＣ,,,,,,,,,,,,,,,,
173,永井　謙佑,Kensuke NAGAI,1989/03/05,ＦＣ東京,名古屋グランパス,ＲＳリエージュ／ベルギー,名古屋グランパス,福岡大,九州国際大付属高,浅川中,医生ヶ丘サッカー少年団,,,,,,,,,,,,,,
174,波多野　豪,Go HATANO,1998/05/25,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５むさし,武蔵村山１ＦＣ,,,,,,,,,,,,,,,,,,
175,内田　宅哉,Takuya UCHIDA,1998/06/02,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,ＪＳＣ　ＣＨＩＢＡ,,,,,,,,,,,,,,,,,,
176,アダイウトン,ADAILTON Dos Santos Da Silva,1990/12/06,ＦＣ東京,ジュビロ磐田,パラナ／ブラジル,ポンチプレッタ／ブラジル,イトゥアーノ／ブラジル,ジョインビレ／ブラジル,イトゥアーノ／ブラジル,アトレチコ　パラナエンセ／ブラジル,ヴィトーリア／ブラジル,フォルタレーザ／ブラジル,,,,,,,,,,,,
177,阿部　伸行,Nobuyuki ABE,1984/04/27,ＦＣ東京,ＡＣ長野パルセイロ,ギラヴァンツ北九州,湘南ベルマーレ,ＦＣ東京,流通経済大,ＦＣ東京Ｕ-１８,東大和三中,大和サンデーズ,,,,,,,,,,,,,
178,品田　愛斗,Manato SHINADA,1999/09/19,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,レジスタＦＣ,,,,,,,,,,,,,,,,,,
179,レアンドロ,Weverson LEANDRO Oliveira Moura,1993/05/12,ＦＣ東京,鹿島アントラーズ,ＦＣ東京,鹿島アントラーズ,ＳＥパルメイラス／ブラジル,鹿島アントラーズ,コリチーバＦＣ／ブラジル,サントスＦＣ／ブラジル,ＳＥパルメイラス／ブラジル,グレミオＦＢＰＡ／ブラジル,,,,,,,,,,,,
180,青木　拓矢,Takuya AOKI,1989/09/16,ＦＣ東京,浦和レッズ,大宮アルディージャ,前橋育英高,ＦＣ前橋Ｊｒユース,ＦＣホリコシ,高崎西ＦＣ,,,,,,,,,,,,,,,
181,中村　拓海,Takumi NAKAMURA,2001/03/16,ＦＣ東京,東福岡高,大分トリニータＵ-１５,大分トリニータＵ-１２,,,,,,,,,,,,,,,,,,
182,渡邊　凌磨,Ryoma WATANABE,1996/10/02,ＦＣ東京,モンテディオ山形,アルビレックス新潟,インゴルシュタット０４／ドイツ,インゴルシュタットⅡ／ドイツ,早稲田大,前橋育英高,,,,,,,,,,,,,,,
183,蓮川　壮大,Sodai HASUKAWA,1998/06/27,ＦＣ東京,明治大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,レジスタＦＣ,,,,,,,,,,,,,,,,,
184,田川　亨介,Kyosuke TAGAWA,1999/02/11,ＦＣ東京,サガン鳥栖,サガン鳥栖Ｕ-１８,雲仙アルディート,,,,,,,,,,,,,,,,,,
185,岡崎　慎,Makoto OKAZAKI,1998/10/10,ＦＣ東京,清水エスパルス,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,コアラＳＣ,,,,,,,,,,,,,,,,
186,安部　柊斗,Shuto ABE,1997/12/05,ＦＣ東京,明治大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５むさし,,,,,,,,,,,,,,,,,,
187,ジョアン　オマリ,JOAN OUMARI,1988/08/19,ＦＣ東京,ヴィッセル神戸,アル　ナスルＳＣ／アラブ首長国連邦,サガン鳥栖,アル　ナスルＳＣ／アラブ首長国連邦,シバシプール／トルコ,ＦＳＶフランクフルト／ドイツ,ロートヴァイス　エルフルト／ドイツ,ＳＶバーベルズブルグ／ドイツ,ライニケンドルファーフックセ／ドイツ,,,,,,,,,,,,
188,林　彰洋,Akihiro HAYASHI,1987/05/07,ＦＣ東京,サガン鳥栖,清水エスパルス,サガン鳥栖,清水エスパルス,ＲＯＣシャルルロワ／ベルギー,プリマスアーガイルＦＣ／イングランド,流通経済大,流通経済大付属柏高,柏レイソル青梅Ｊｒユース,,,,,,,,,,,,
