,選手名,選手名（英語）,ポジション,生年月日,身長,体重,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
161,阿部　文一朗,Bunichiro ABE,FW,1985/04/02,182,75,,,,,,,,,,,,,,,,,,,,,,
162,阿部　正紀,Masanori ABE,DF,1991/12/25,178,78,,,,,,,,,,,,,,,,,,,,,,
163,阿部　真尋,Mahiro ABE,MF,2003/04/06,168,62,,,,,,,,,,,,,,,,,,,,,,
164,阿部　水帆,Minaho ABE,MF,2005/06/12,172,64,,,,,,,,,,,,,,,,,,,,,,
165,安部　雄一,Yuichi ABE,FW,1969/04/05,178,68,,,,,,,,,,,,,,,,,,,,,,
166,阿部　勇樹,Yuki ABE,MF,1981/09/06,178,77,浦和レッズ,レスターシティＦＣ／イングランド,浦和レッズ,ジェフユナイテッド千葉,ジェフユナイテッド市原ユース,ジェフユナイテッド市原Ｊｒユース,市川ＦＣ,富美浜ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
167,阿部　優,Yuki ABE,FW,1989/09/16,190,85,,,,,,,,,,,,,,,,,,,,,,
168,安部　雄大,Yuta ABE,MF,1974/07/31,177,71,,,,,,,,,,,,,,,,,,,,,,
169,阿部　祐大朗,Yutaro ABE,FW,1984/10/05,183,78,,,,,,,,,,,,,,,,,,,,,,
170,阿部　良則,Yoshinori ABE,FW,1972/09/10,177,71,,,,,,,,,,,,,,,,,,,,,,
171,阿部　吉朗,Yoshiro ABE,FW,1980/07/05,174,77,,,,,,,,,,,,,,,,,,,,,,
172,阿部　龍之介,Ryunosuke ABE,FW,1999/01/12,167,61,,,,,,,,,,,,,,,,,,,,,,
173,アベル　ルシアッティ,Brian ABEL LUCIATTI,DF,1993/02/18,180,80,,,,,,,,,,,,,,,,,,,,,,
174,アポジ,Luiz Diallisson De Souza Alves(APODI),MF,1986/12/13,172,68,,,,,,,,,,,,,,,,,,,,,,
175,天笠　泰輝,Taiki AMAGASA,MF,2000/05/11,176,70,ザスパクサツ群馬,関西大,青森山田高,前橋ＦＣ,太田南サッカー少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
176,天根　勇輝,Yuki AMANE,DF,2001/06/01,166,64,,,,,,,,,,,,,,,,,,,,,,
177,天野　恒太,Kota AMANO,DF,1987/06/22,170,70,,,,,,,,,,,,,,,,,,,,,,
178,天野　純,Jun AMANO,MF,1991/07/19,175,67,横浜Ｆ・マリノス,ロケレン／ベルギー,横浜Ｆ・マリノス,順天堂大,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース追浜,横浜Ｆ・マリノスプライマリー追浜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
179,天野　貴史,Takashi AMANO,DF,1986/04/13,163,61,,,,,,,,,,,,,,,,,,,,,,
180,天野　悠貴,Yuki AMANO,MF,2000/04/17,166,64,,,,,,,,,,,,,,,,,,,,,,
181,天野　友心,Yushin AMANO,GK,2000/07/10,181,79,,,,,,,,,,,,,,,,,,,,,,
182,アマラウ,Carlos Rafael Do AMARAL,MF,1983/11/27,175,71,,,,,,,,,,,,,,,,,,,,,,
183,アマリウド,AMARILDO De Jesus Santos,DF,1986/07/06,185,85,,,,,,,,,,,,,,,,,,,,,,
184,天羽　良輔,Ryosuke AMO,DF,1983/09/19,177,72,,,,,,,,,,,,,,,,,,,,,,
185,アモリン,Fabio Da Conceicao AMORIM,FW,1990/02/28,173,69,,,,,,,,,,,,,,,,,,,,,,
186,鮎川　峻,Shun AYUKAWA,FW,2001/09/15,164,61,サンフレッチェ広島,サンフレッチェ広島ユース,ＦＣ　ＦＥＲＶＯＲ愛知,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
187,アユブ　マシカ,Ayub Timbe Masika(AYUB MASIKA),FW,1992/09/10,167,68,ヴィッセル神戸,レディングＦＣ／イングランド,北京人和足球倶楽部／中国,黒竜江火山鳴泉足球倶楽部／中国,北京人和足球倶楽部／中国,リールセＳＫ／ベルギー,リールセＳＫ／ベルギー,ＫＲＣ　ゲンク／ベルギー,-,-,-,-,-,-,-,-,-,-,-,-,-,-
188,荒　貴史,Takafumi ARA,GK,1999/04/06,179,69,,,,,,,,,,,,,,,,,,,,,,
189,新井　一耀,Ikki ARAI,DF,1993/11/08,186,77,ジェフユナイテッド千葉,名古屋グランパス,ジェフユナイテッド千葉,名古屋グランパス,横浜Ｆ・マリノス,名古屋グランパス,横浜Ｆ・マリノス,順天堂大,清水商高,フッチＳＣ,市川真間ＳＣ,-,-,-,-,-,-,-,-,-,-,-
190,荒井　貫太,Kanta ARAI,MF,2003/06/30,164,58,,,,,,,,,,,,,,,,,,,,,,
191,新井　健二,Kenji ARAI,DF,1978/05/19,182,75,,,,,,,,,,,,,,,,,,,,,,
192,荒井　秀賀,Shuga ARAI,MF,1999/10/29,170,68,,,,,,,,,,,,,,,,,,,,,,
193,新井　章太,Shota ARAI,GK,1988/11/01,184,84,ジェフユナイテッド千葉,川崎フロンターレ,東京ヴェルディ,国士舘大,正智深谷高,上里ＦＣ,吉田ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
194,新井　翔太,Shota ARAI,MF,1985/04/07,172,60,,,,,,,,,,,,,,,,,,,,,,
195,新井　純平,Jumpei ARAI,DF,1994/11/12,173,70,,,,,,,,,,,,,,,,,,,,,,
196,新井　純平,Jumpei ARAI,MF,1989/07/22,171,65,,,,,,,,,,,,,,,,,,,,,,
197,新井　泰貴,Taiki ARAI,MF,1997/06/19,174,67,ガイナーレ鳥取,産業能率大,湘南ベルマーレＵ-１８,湘南ベルマーレＵ-１５平塚,湘南レオーネ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
198,新居　辰基,Tatsunori ARAI,FW,1983/12/22,172,65,,,,,,,,,,,,,,,,,,,,,,
199,新井　辰也,Tatsuya ARAI,DF,1988/01/14,188,80,,,,,,,,,,,,,,,,,,,,,,
200,新井　直人,Naoto ARAI,DF,1996/10/07,173,73,セレッソ大阪,アルビレックス新潟,新潟経営大,実践学園高,ＦＣ渋谷,北沢キッカーズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,新井　隼利,Hayato ARAI,GK,2001/04/23,179,67,,,,,,,,,,,,,,,,,,,,,,
202,新井　光,Hikaru ARAI,MF,1999/04/14,174,68,ガイナーレ鳥取,湘南ベルマーレ,ガイナーレ鳥取,湘南ベルマーレ,市立長野高,ＡＣ長野パルセイロＵ-１８,ＡＣ長野パルセイロＵ-１５,昭和ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
203,新井　秀明,Hideaki ARAI,DF,2000/03/07,181,67,,,,,,,,,,,,,,,,,,,,,,
204,新井　博人,Hiroto ARAI,DF,1996/06/22,175,71,ギラヴァンツ北九州,明治学院大,桐蔭学園高,ＦＣ東京Ｕ-１５深川,レジスタＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
205,新井　幹人,Mikihito ARAI,DF,1994/06/14,175,68,,,,,,,,,,,,,,,,,,,,,,
206,新井　瑞希,Mizuki ARAI,MF,1997/04/14,170,64,東京ヴェルディ,カターレ富山,ＳＣ相模原,ＳＶホルン／オーストリア,浦和レッズユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
207,新井　栄聡,Yoshiaki ARAI,GK,1995/09/27,187,84,ブラウブリッツ秋田,清水エスパルス,ツエーゲン金沢,清水エスパルス,流通経済大,西武台高,坂戸ディプロマッツＦＣ,坂戸カンガルーＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
208,新井　涼平,Ryohei ARAI,MF,1990/11/03,183,67,ヴァンフォーレ甲府,ギラヴァンツ北九州,大宮アルディージャ,ＦＣ岐阜,大宮アルディージャ,ＦＣ岐阜,大宮アルディージャ,大宮アルディージャユース,大宮アルディージャＪｒユース,上福岡ＳＣ,江南南サッカー少年団,-,-,-,-,-,-,-,-,-,-,-
209,新井場　徹,Toru ARAIBA,DF,1979/07/12,182,74,,,,,,,,,,,,,,,,,,,,,,
210,アライール,ALAIR De Souza Camargo Junior,DF,1982/01/27,184,80,,,,,,,,,,,,,,,,,,,,,,
211,アラウージョ,Clemerson De ARAUJO Soares,FW,1977/08/08,172,62,,,,,,,,,,,,,,,,,,,,,,
212,新垣　貴之,Takayuki ARAKAKI,MF,1996/08/12,171,62,ギラヴァンツ北九州,流通経済大,流通経済大付属柏高,小禄中,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
213,荒川　颯磨,Soma ARAKAWA,MF,2003/04/18,173,63,ベガルタ仙台,ＦＣ古河,ＦＣプリメーロ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
214,荒木　秀太,Shuta ARAKI,MF,1999/09/11,171,64,,,,,,,,,,,,,,,,,,,,,,
215,荒木　駿汰,Shunta ARAKI,MF,2002/04/08,164,57,,,,,,,,,,,,,,,,,,,,,,
216,荒木　翔,Sho ARAKI,MF,1995/08/25,166,65,ヴァンフォーレ甲府,国士舘大,日本航空高,ＦＣコラソン,大野台ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
217,荒木　大吾,Daigo ARAKI,MF,1994/02/17,178,73,京都サンガF.C.,ジュビロ磐田,青山学院大,柏レイソルＵ-１８,柏レイソルＵ-１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
218,荒木　隼人,Hayato ARAKI,DF,1996/08/07,186,77,サンフレッチェ広島,関西大,サンフレッチェ広島ユース,ガンバ大阪門真Ｊｒユース,ガンバ大阪門真ジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219,荒木　健斗,Hokuto ARAKI,DF,2005/05/31,180,73,,,,,,,,,,,,,,,,,,,,,,
220,荒木　亮輔,Ryosuke ARAKI,FW,2001/04/15,168,54,,,,,,,,,,,,,,,,,,,,,,
221,荒木　遼太郎,Ryotaro ARAKI,MF,2002/01/29,170,60,鹿島アントラーズ,東福岡高,ロアッソ熊本Ｊｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
222,荒田　成貴,Shigeki ARATA,MF,1996/06/02,171,66,,,,,,,,,,,,,,,,,,,,,,
223,荒田　智之,Tomoyuki ARATA,FW,1985/10/03,178,72,,,,,,,,,,,,,,,,,,,,,,
224,荒谷　弘樹,Hiroki ARATANI,GK,1975/08/06,192,82,,,,,,,,,,,,,,,,,,,,,,
225,荒野　拓馬,Takuma ARANO,MF,1993/04/20,180,72,北海道コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,札幌ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
226,荒堀　謙次,Kenji ARABORI,DF,1988/07/31,168,65,,,,,,,,,,,,,,,,,,,,,,
227,アラン,ALAN David Dotti,DF,1977/03/19,190,75,,,,,,,,,,,,,,,,,,,,,,
228,アラン,Natividade ALLAN Dos Santos,DF,1989/02/20,178,75,,,,,,,,,,,,,,,,,,,,,,
229,アラン　バイーア,Alan Pereira Costa(ALAN BAHIA),MF,1983/01/14,171,76,,,,,,,,,,,,,,,,,,,,,,
230,アラン　ピニェイロ,Alan Lopes Pinheiro(ALAN PINHEIRO),FW,1992/05/13,182,89,,,,,,,,,,,,,,,,,,,,,,
231,アラン　ミネイロ,Alan Cassio Da Cruz(ALAN MINEIRO),MF,1987/09/29,174,79,,,,,,,,,,,,,,,,,,,,,,
232,アランダ,Lorenzo Eduardo ARANDA,MF,1985/01/28,175,77,,,,,,,,,,,,,,,,,,,,,,
233,アラーノ,ALLANO Brendon De Souza Lima,FW,1995/04/24,178,74,,,,,,,,,,,,,,,,,,,,,,
234,アリ,Arivaldo Alves Dos Santos(ARI),MF,1980/11/19,180,73,,,,,,,,,,,,,,,,,,,,,,
235,アリソン,HARISON Da Silva Nery,MF,1980/01/02,175,68,,,,,,,,,,,,,,,,,,,,,,
236,アリソン,ALISON Barros Moraes,FW,1982/06/30,171,68,,,,,,,,,,,,,,,,,,,,,,
237,アリソン,ALISON Henrique Mira,FW,1995/12/01,182,80,,,,,,,,,,,,,,,,,,,,,,
238,アリソン　リカルド,ALLISSON RICARDO Faramilio,FW,1988/01/30,185,80,,,,,,,,,,,,,,,,,,,,,,
239,有薗　真吾,Shingo ARIZONO,DF,1985/12/04,178,70,,,,,,,,,,,,,,,,,,,,,,
240,有田　恵人,Keito ARITA,MF,2002/01/24,171,61,,,,,,,,,,,,,,,,,,,,,,
241,有田　光希,Koki ARITA,FW,1991/09/23,180,80,ヴァンフォーレ甲府,愛媛ＦＣ,京都サンガF.C.,ヴィッセル神戸,京都サンガF.C.,ヴィッセル神戸,愛媛ＦＣ,ヴィッセル神戸,北越高,アルビレックス新潟Ｊｒユース,太夫浜ダッシャーズＦＣ,-,-,-,-,-,-,-,-,-,-,-
242,有永　一生,Kazuki ARINAGA,MF,1989/03/03,175,67,いわてグルージャ盛岡,ＡＣ長野パルセイロ,関東学院大,国見高,国見中,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
243,有馬　賢二,Kenji ARIMA,FW,1972/11/26,179,72,,,,,,,,,,,,,,,,,,,,,,
244,有馬　弦希,Genki ARIMA,DF,1998/09/14,178,70,,,,,,,,,,,,,,,,,,,,,,
245,有馬　幸太郎,Kotaro ARIMA,FW,2000/09/03,181,71,栃木ＳＣ,鹿島アントラーズ,栃木ＳＣ,鹿島アントラーズ,鹿島アントラーズユース,鹿島アントラーズＪｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
246,有間　潤,Jun ARIMA,FW,1992/08/06,168,65,ＦＣ今治,ソニー仙台ＦＣ,高知大,宇和島東高,城北中,牛鬼ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
247,有水　亮,Aki ARIMIZU,MF,1999/08/10,172,70,,,,,,,,,,,,,,,,,,,,,,
248,有光　空大,Kuhiro ARIMITSU,FW,2001/06/16,174,64,,,,,,,,,,,,,,,,,,,,,,
249,有光　亮太,Ryota ARIMITSU,FW,1981/04/21,174,68,,,,,,,,,,,,,,,,,,,,,,
250,有村　光史,Koji ARIMURA,DF,1976/08/25,178,73,,,,,,,,,,,,,,,,,,,,,,
251,有村　柊人,Shuto ARIMURA,DF,2005/10/22,160,47,,,,,,,,,,,,,,,,,,,,,,
252,アルシンド,ALCINDO Sartori,FW,1967/10/21,175,77,,,,,,,,,,,,,,,,,,,,,,
253,アルジェウ,Argelico Fucks(ARGEL),DF,1974/09/04,180,75,,,,,,,,,,,,,,,,,,,,,,
254,アルセウ,ALCEU Rodrigues Simoni Filho,MF,1984/05/07,177,77,,,,,,,,,,,,,,,,,,,,,,
255,アルトゥール,ARTHUR Vignoli Carreira,DF,2000/08/04,178,75,,,,,,,,,,,,,,,,,,,,,,
256,アルトゥール　カイキ,ARTHUR CAIKE do Nascimento Cruz,MF,1992/06/15,174,71,鹿島アントラーズ,クルゼイロＥＣ／ブラジル,ＥＣバイーア／ブラジル,アル　シャバブＦＣ／サウジアラビア,ピラミッドＦＣ／エジプト,シャペコエンセ／ブラジル,サンタクルスＦＣ／ブラジル,アトレチコ　ゴイアニエンセ／ブラジル,ロンドリーナＥＣ／ブラジル,ＣＲフラメンゴ／ブラジル,フィゲレンセＦＣ／ブラジル,コリチーバＦＣ／ブラジル,パラナ　クルーベ／ブラジル,ロンドリーナＥＣ／ブラジル,イラチＳＣ／ブラジル,-,-,-,-,-,-,-
257,アルトゥール　シルバ,ARTHUR SILVA Feitoza,MF,1995/04/26,180,80,ＦＣ東京,ＣＮマルシリオ　ジアス／ブラジル,ＥＣノヴォ アンブルゴ　Ｕ／ブラジル,グレミオ　オザスコ　アウダ／ブラジル,ＣＡヴォトゥポランゲンセ／ブラジル,ＡＡインテルナシオナル ベ／ブラジル,ＥＣサンジョゼ／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
258,アルトゥール　マイア,Arthur Brasiliano Maia (ARTHUR MAIA),MF,1992/10/13,170,70,,,,,,,,,,,,,,,,,,,,,,
259,アルバレンガ,Guido Virgilio ALVARENGA,MF,1970/08/24,170,66,,,,,,,,,,,,,,,,,,,,,,
260,アルパイ,ALPAY Ozalan,DF,1973/05/29,188,81,,,,,,,,,,,,,,,,,,,,,,
261,アルベルト,ALBERTO Luis De Souza,FW,1975/04/27,183,84,,,,,,,,,,,,,,,,,,,,,,
262,アルレイ,ARLEY De Queroz Sandim,FW,1986/05/25,178,66,,,,,,,,,,,,,,,,,,,,,,
263,アルヴァロ　ロドリゲス,ALVARO RODRIGUES,MF,1993/07/19,175,71,,,,,,,,,,,,,,,,,,,,,,
264,アルー,Anoh Bernard ALLOU,MF,1975/06/19,172,68,,,,,,,,,,,,,,,,,,,,,,
265,アレクサンドレ　ゲデス,Alexandre Xavier Pereira Gracia Guedes(ALEXANDRE GUEDES),FW,1994/02/11,185,83,,,,,,,,,,,,,,,,,,,,,,
266,アレクセイ　コシェレフ,ALEXEI KOSELEV,GK,1993/11/19,200,90,ジュビロ磐田,フォルトナ　シッタート／オランダ,ＣＳＭポリテフニカ　ヤシ／ルーマニア,ＦＣシェリフ　ティラスポリ／モルドバ,ＦＣティラスポリ／モルドバ,ＦＣサクサン／モルドバ,ＦＣクバン　クラスノダー／ロシア連邦,ＦＣスファンツル　ゲオルヘ／モルドバ,ＦＣダチア　ブユカニ／モルドバ,ＣＦガガウジヤ　コムラット／モルドバ,-,-,-,-,-,-,-,-,-,-,-,-
267,アレサンドロ,ALESSANDRO Andrade De Oliveira,FW,1973/05/27,170,73,,,,,,,,,,,,,,,,,,,,,,
268,アレシャンドレ,ALEXANDRE Luiz Goulart,FW,1976/07/24,182,79,,,,,,,,,,,,,,,,,,,,,,
269,アレシャンドレ,ALEXANDRE,MF,1998/04/01,178,75,,,,,,,,,,,,,,,,,,,,,,
270,アレシャンドレ,ALEXANDRE Di Estefano Marcena Rodrigues,FW,1993/02/05,191,86,,,,,,,,,,,,,,,,,,,,,,
271,アレシャンドレ,Jose ALEXANDRE Alves Lindo,MF,1973/08/15,177,65,,,,,,,,,,,,,,,,,,,,,,
272,アレックス,ALEX Martins Ferreira,FW,1993/07/08,187,82,,,,,,,,,,,,,,,,,,,,,,
273,アレックス,ALEX Henrique Jose,MF,1985/03/20,182,72,,,,,,,,,,,,,,,,,,,,,,
274,アレックス,ALEX Jason Brosque,FW,1983/10/12,183,72,,,,,,,,,,,,,,,,,,,,,,
275,アレックス,ALEX Antonio De Melo Santos,DF,1983/04/16,172,69,,,,,,,,,,,,,,,,,,,,,,
276,アレックス,ALEX,FW,1976/04/20,173,67,,,,,,,,,,,,,,,,,,,,,,
277,アレックス,ALEX Lopes Do Nascimento,MF,1969/04/22,178,73,,,,,,,,,,,,,,,,,,,,,,
278,アレックス,ALEX Felipe Nery,MF,1975/08/14,170,69,,,,,,,,,,,,,,,,,,,,,,
279,アレックス　オリベイラ,Alexsandro Marques De Oliveira(ALEX OLIVEIRA),DF,1978/06/17,186,82,,,,,,,,,,,,,,,,,,,,,,
280,アレックス　ミネイロ,Alexander Pereira Cardoso(ALEX MINEIRO),FW,1975/03/15,175,71,,,,,,,,,,,,,,,,,,,,,,
281,アレックス　ムラーリャ（アレックス　サンターナ）,Alex Roberto Santana Rafael(ALEX MURALHA),GK,1989/11/10,189,87,,,,,,,,,,,,,,,,,,,,,,
282,アレックス　ラファエル,ALEX RAFAEL Da Silva Antonio,MF,1988/01/01,176,70,,,,,,,,,,,,,,,,,,,,,,
283,アレッサンドロ,ALESSANDRO Nunes,FW,1982/03/02,177,66,,,,,,,,,,,,,,,,,,,,,,
284,アレッシャンドレ,ALEXANDRE Jose Bortolato,FW,1973/11/10,180,70,,,,,,,,,,,,,,,,,,,,,,
285,アレフ　ピットブル,Halef Silva Melo(HALEF PITBULL),FW,1994/08/20,180,85,,,,,,,,,,,,,,,,,,,,,,
286,アレモン,Carlos Adriano De Josus Soares(ALEMAO),FW,1984/04/10,183,75,,,,,,,,,,,,,,,,,,,,,,
287,アレン,ALEN Avdic,FW,1977/04/03,183,76,,,,,,,,,,,,,,,,,,,,,,
288,アレン　ステバノヴィッチ,ALEN STEVANOVIC,FW,1991/01/07,184,75,,,,,,,,,,,,,,,,,,,,,,
289,アレー,Alexandre Luiz Fernandes(ALE),MF,1986/01/21,176,76,,,,,,,,,,,,,,,,,,,,,,
290,阿波加　俊太,Shunta AWAKA,GK,1995/02/07,188,77,北海道コンサドーレ札幌,愛媛ＦＣ,北海道コンサドーレ札幌,Ｈｏｎｄａ　ＦＣ,北海道コンサドーレ札幌,ＳＣ相模原,北海道コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,空知ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-
291,阿渡　真也,Shinya AWATARI,DF,1990/06/07,173,68,,,,,,,,,,,,,,,,,,,,,,
292,粟野　健翔,Kento AWANO,MF,2001/01/05,160,58,,,,,,,,,,,,,,,,,,,,,,
293,アン　ジュンス（安　俊洙）,AHN Joon Soo,GK,1998/01/28,188,78,,,,,,,,,,,,,,,,,,,,,,
294,安　貞桓,AHN Jung Hwan,FW,1976/01/27,178,78,,,,,,,,,,,,,,,,,,,,,,
295,安　鮮鎮,AN Sun Jin,MF,1975/09/19,178,73,,,,,,,,,,,,,,,,,,,,,,
296,安　孝錬,AN Hyo Yeon,FW,1978/04/16,183,75,,,,,,,,,,,,,,,,,,,,,,
297,安　柄俊,AN Byong Jun,FW,1990/05/22,183,73,,,,,,,,,,,,,,,,,,,,,,
298,安　庸佑,AN Yong Woo,MF,1991/08/10,177,69,,,,,,,,,,,,,,,,,,,,,,
299,アン　ヨンギュ,AHN Young Kyu,MF,1989/12/04,185,75,,,,,,,,,,,,,,,,,,,,,,
300,安　英学（アン　ヨンハ）,AN Yong Hak,MF,1978/10/25,182,75,,,,,,,,,,,,,,,,,,,,,,
301,アングロ,James ANGULO Zamora,FW,1974/01/20,175,70,,,,,,,,,,,,,,,,,,,,,,
302,安西　海斗,Kaito ANZAI,MF,1998/02/19,172,64,,,,,,,,,,,,,,,,,,,,,,
303,安在　和樹,Kazuki ANZAI,DF,1994/08/07,172,68,東京ヴェルディ,サガン鳥栖,レノファ山口ＦＣ,サガン鳥栖,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディ１９６９ジュニア,羽衣ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-
304,安西　幸輝,Koki ANZAI,DF,1995/05/31,172,64,,,,,,,,,,,,,,,,,,,,,,
305,安在　達弥,Tatsuya ANZAI,DF,1996/05/09,173,72,アスルクラロ沼津,東京ヴェルディ,アスルクラロ沼津,東京ヴェルディ,中央大,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディジュニア,羽衣ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-
306,アンジェロッティ,ANGELOTTI Rodrigo Luiz,MF,1998/04/27,185,79,柏レイソル,レッドブル　ブラガンチーノ／ブラジル,イトゥアーノＦＣ／ブラジル,レッドブル　ブラジル／ブラジル,ＦＣリーフェリング／オーストリア,レッドブル　ブラジル／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
307,アンセウモ　ハモン,ANCELMO RAMON Alves Herculano,FW,1988/06/23,182,79,,,,,,,,,,,,,,,,,,,,,,
308,按田　頼,Rai ANDA,DF,1997/05/07,180,70,,,,,,,,,,,,,,,,,,,,,,
309,アンダース　アプリン,Anders Eric Aplin(ANDERS APLIN),DF,1991/06/21,180,75,,,,,,,,,,,,,,,,,,,,,,
310,アンテ,ANTE Simundza,FW,1971/09/28,181,76,,,,,,,,,,,,,,,,,,,,,,
311,アンデルソン,ANDERSON Santos Silva,DF,1981/12/14,184,78,,,,,,,,,,,,,,,,,,,,,,
312,アンデルソン,ANDERSON Aparecido Gonzaga,FW,1983/12/29,180,75,,,,,,,,,,,,,,,,,,,,,,
313,アンデルソン,ANDERSON Roberto Da Silva Luiz,FW,1978/02/01,187,80,,,,,,,,,,,,,,,,,,,,,,
314,アンデルソン,ANDERSON Andrade Antunes,FW,1981/11/15,179,77,,,,,,,,,,,,,,,,,,,,,,
315,アンデルソン,ANDERSON Gils De Sampaio,FW,1977/02/15,178,69,,,,,,,,,,,,,,,,,,,,,,
316,アンデルソン,ANDERSON Luis Da Silva,DF,1972/12/22,192,81,,,,,,,,,,,,,,,,,,,,,,
317,アンデルソン　リマ,ANDERSON LIMA Veiga,DF,1973/03/18,176,77,,,,,,,,,,,,,,,,,,,,,,
318,アンデルソン　ロペス,Anderson Jose Lopes De Souza(ANDERSON LOPES),FW,1993/09/15,185,78,北海道コンサドーレ札幌,ＦＣソウル／大韓民国,サンフレッチェ広島,アトレチコ　パラナエンセ／ブラジル,アヴァイＦＣ／ブラジル,ＣＮマルシリオ　ジアス／ブラジル,アヴァイＦＣ／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
319,アントニオ,Maruco ANTONIO Urunau,MF,1970/11/16,181,72,,,,,,,,,,,,,,,,,,,,,,
320,アントニオ,ANTONIO Carlos Zago,DF,1969/05/18,187,78,,,,,,,,,,,,,,,,,,,,,,
321,安藤　阿雄依,Aoi ANDO,FW,2005/01/04,161,51,,,,,,,,,,,,,,,,,,,,,,
322,安東　輝,Akira ANDO,MF,1995/06/28,173,70,松本山雅ＦＣ,水戸ホーリーホック,松本山雅ＦＣ,湘南ベルマーレ,ツエーゲン金沢,湘南ベルマーレ,福島ユナイテッドＦＣ,湘南ベルマーレ,福島ユナイテッドＦＣ,湘南ベルマーレ,ＪＦＡアカデミー福島,市浜レッドソックス,-,-,-,-,-,-,-,-,-,-
323,安藤　一哉,Kazuya ANDO,MF,1997/07/15,174,70,ガイナーレ鳥取,東京農業大,ジェフユナイテッド千葉Ｕ-１８,ジェフユナイテッド千葉Ｕ-１５,葛城ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
324,安藤　虎星,Kosei ANDO,MF,2000/12/01,166,57,,,,,,,,,,,,,,,,,,,,,,
325,安藤　駿介,Shunsuke ANDO,GK,1990/08/10,185,81,川崎フロンターレ,湘南ベルマーレ,川崎フロンターレ,川崎フロンターレＵ-１８,川崎フロンターレＵ-１５,ヴァロールＳＣウェスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
326,安藤　駿冶,Shunya ANDO,DF,1991/10/25,174,68,,,,,,,,,,,,,,,,,,,,,,
327,安藤　淳,Jun ANDO,DF,1984/10/08,178,72,,,,,,,,,,,,,,,,,,,,,,
328,安東　大介,Daisuke ANDO,FW,1991/07/18,183,83,,,,,,,,,,,,,,,,,,,,,,
329,安藤　翼,Tsubasa ANDO,MF,1996/05/12,170,67,ＳＣ相模原,ヴァンラーレ八戸,ホンダロックＳＣ,駒澤大,長崎総合科学大附属高,Ｐｌａｙ　ＭＩＮＡＭＩ,FC佐伯 Ｓ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
330,安藤　寿岐,Toshiki ANDO,DF,2003/10/14,174,71,サガン鳥栖,サガン鳥栖Ｕ-１５唐津,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
331,安藤　智哉,Tomoya ANDO,DF,1999/01/10,190,84,ＦＣ今治,愛知学院大,岡崎城西高,梅坪台中,ＳＦＣ梅坪台,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
